# This mapping file is used by process_dr_ropeless_trees.sh to map filename prefixes to human readable vegetation names
# Format:
#     Original filename prefix |
#     Category title (category.txt) |
#     Title (info.txt) |
#     Description (info.txt) |
#     Destination folder name (library path) |
#     Destination category folder name

AESCUbuck|Aesculus (Horse Chestnut / Buckeye)|Tree, Aesculus, Glabra (Buckeye)|Aesculus (Buckeye) tree|aesculus/1|aesculus
PINUSmed3|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/23|pinus
PINUSred_l|Pinus (Pine)|Tree, Pinus, Resinosa (Red Pine)|Pinus Resinosa (Red Pine) tree|pinus/24|pinus
PINUSred_m|Pinus (Pine)|Tree, Pinus, Resinosa (Red Pine)|Pinus Resinosa (Red Pine) tree|pinus/25|pinus
PINUSshort|Pinus (Pine)|Tree, Pinus, Echinata (Shortleaf Pine)|Pinus Echinata (Shortleaf Pine) tree|pinus/26|pinus
PINUSslash|Pinus (Pine)|Tree, Pinus, Elliottii (Slash Pine)|Pinus Elliottii (Slash Pine) tree|pinus/27|pinus
PINUSspec1|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/28|pinus
PINUSspec2|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/29|pinus
PINUSvirgin|Pinus (Pine)|Tree, Pinus, Virginiana (Virginia Pine)|Pinus Virginiana (Virginia Pine) tree|pinus/30|pinus
PLATANsycam|Platanus (Plane / Sycamore)|Tree, Platanus (Sycamore)|Platanus (Sycamore) tree|platanus/1|platanus
POPULcotton|Populus (Aspen / Poplar)|Tree, Populus, Fremontii (Cottonwood)|Populus Fremontii (Cottonwood) tree|populus/8|populus
QUERCblack|Quercus (Oak)|Tree, Quercus, Velutina (Black Oak)|Quercus Velutina (Black Oak) tree|quercus/8|quercus
QUERClive_w|Quercus (Oak)|Tree, Quercus (Evergreen Oak)|Quercus (Evergreen Oak) tree|quercus/9|quercus
QUERCred|Quercus (Oak)|Tree, Quercus, Rubra (Red Oak)|Quercus Rubra (Red Oak) tree|quercus/10|quercus
QUERCwhite1|Quercus (Oak)|Tree, Quercus, Alba (White Oak)|Quercus Alba (White Oak) tree|quercus/11|quercus
QUERCwhite2_w|Quercus (Oak)|Tree, Quercus, Alba (White Oak)|Quercus Alba (White Oak) tree|quercus/12|quercus
REED|Phragmites (Reed)|Reed, Phragmites|Phragmites (Reed)|phragmites/1|phragmites
SAGE1|Salvia (Sage)|Shrub, Salvia (Sage)|Salvia (Sage) shrub|salvia/1|salvia
SAGE2|Salvia (Sage)|Shrub, Salvia (Sage)|Salvia (Sage) shrub|salvia/2|salvia
SAGUARO1|Carnegiea (Saguaro)|Cactus, Carnegiea (Saguaro)|Carnegiea (Saguaro) cactus|carnegiea/1|carnegiea
SAGUARO2|Carnegiea (Saguaro)|Cactus, Carnegiea (Saguaro)|Carnegiea (Saguaro) cactus|carnegiea/2|carnegiea
SAGUARO3|Carnegiea (Saguaro)|Cactus, Carnegiea (Saguaro)|Carnegiea (Saguaro) cactus|carnegiea/3|carnegiea
SAGUARO4|Carnegiea (Saguaro)|Cactus, Carnegiea (Saguaro)|Carnegiea (Saguaro) cactus|carnegiea/4|carnegiea
SAGUARO5|Carnegiea (Saguaro)|Cactus, Carnegiea (Saguaro)|Carnegiea (Saguaro) cactus|carnegiea/5|carnegiea
SALIXwhite|Salix (Willow)|Tree, Salix, Alba (White Willow)|Salix Alba (White Willow) tree|salix/2|salix
SClaur2|Laurus (Laurel)|Tree, Laurus (Laurel)|Laurus (Laurel) tree|laurus/3|laurus
SColea|Olea (Olive)|Tree, Olea (Olive)|Olea (Olive) tree|olea/2|olea
SCquer3|Quercus (Oak)|Tree, Quercus (Oak)|Quercus (Oak) tree|quercus/13|quercus
SCquery|Quercus (Oak)|Tree, Quercus (Oak)|Quercus (Oak) tree|quercus/14|quercus
